,Temp,Grid,S_L,Y_IXC8H18,Y_CO,Y_O2,Y_NO,Y_CO2,Y_H2O,HRR,C_P,lambda,time_scale
135,1527.31696,0.010467188,0.639461821,2.86E-12,0.016642288,0.100124625,2.19E-06,0.088001696,2.65E-05,238794976.5,1319.985551,0.099136968,0.016368745
136,1531.600231,0.010478125,0.64109045,7.81E-13,0.016127272,0.099595276,2.24E-06,0.089053476,2.70E-05,214588321.3,1320.609168,0.099373816,0.016344223
137,1535.705308,0.010489063,0.642643248,2.09E-13,0.015620376,0.09909965,2.29E-06,0.090068227,2.73E-05,194536042.4,1321.211592,0.099600072,0.01632175
138,1539.653782,0.0105,0.64413031,5.52E-14,0.015123615,0.098634619,2.34E-06,0.091046769,2.77E-05,178018836.8,1321.793921,0.099816969,0.016301049
139,1543.463232,0.010510938,0.64555987,1.42E-14,0.014638528,0.098197387,2.38E-06,0.091989979,2.79E-05,164447403.5,1322.357158,0.100025517,0.016281894
140,1547.147894,0.010521875,0.646938614,3.06E-15,0.014166252,0.097785468,2.43E-06,0.092898773,2.81E-05,153287480,1322.902218,0.100226542,0.016264101
141,1554.178085,0.01054375,0.649560589,2.89E-16,0.013263542,0.097031751,2.52E-06,0.094614014,2.83E-05,136910010.7,1323.940386,0.100608086,0.016232127
142,1560.824328,0.010565625,0.652032945,2.65E-17,0.012417675,0.096355021,2.60E-06,0.096204808,2.84E-05,125391522.9,1324.915607,0.100966376,0.016204128
143,1567.129664,0.0105875,0.654375675,2.35E-18,0.011628935,0.095743972,2.68E-06,0.097678782,2.83E-05,116862493.5,1325.832972,0.10130408,0.016179544
144,1573.123972,0.010609375,0.656602357,2.03E-19,0.010895908,0.095189616,2.75E-06,0.099043455,2.81E-05,110134025.6,1326.696932,0.10162312,0.016157991
145,1578.829298,0.01063125,0.658722668,1.29E-20,0.010216208,0.094684703,2.83E-06,0.100306143,2.78E-05,104475961.2,1327.511436,0.101924959,0.01613919
146,1589.427856,0.010675,0.662668277,3.22E-22,0.009009888,0.093806668,2.96E-06,0.102543285,2.68E-05,95112835.06,1329.003238,0.102480773,0.016109116
147,1599.06753,0.01071875,0.666266308,7.72E-24,0.007975847,0.093064039,3.08E-06,0.104461555,2.57E-05,86882743.33,1330.338354,0.10298104,0.016087786
148,1607.838048,0.0107625,0.669549692,1.32E-25,0.007089831,0.092431222,3.20E-06,0.106106822,2.44E-05,79366254.29,1331.536691,0.103431856,0.016074236
149,1623.02298,0.01085,0.675264561,8.73E-28,0.005698582,0.0914381,3.39E-06,0.108694469,2.17E-05,66155583.83,1333.576372,0.104201854,0.016067776
150,1635.714172,0.0109375,0.680065558,5.46E-30,0.004657754,0.090689631,3.57E-06,0.11063695,1.90E-05,55085751.21,1335.253258,0.104835973,0.016083008
151,1646.365288,0.011025,0.684111973,3.27E-32,0.003869058,0.090118012,3.72E-06,0.112112349,1.66E-05,45934925.63,1336.643519,0.105361518,0.016115783
152,1655.345323,0.0111125,0.6875347,1.88E-34,0.003262408,0.089676539,3.85E-06,0.113248295,1.44E-05,38420546.4,1337.804906,0.105799894,0.016162821
153,1662.951989,0.0112,0.690440724,1.05E-36,0.002788248,0.089332213,3.96E-06,0.114135612,1.25E-05,32263310.04,1338.781754,0.106167848,0.016221523
154,1669.424736,0.0112875,0.692917215,5.71E-39,0.002411562,0.089061288,4.06E-06,0.114838918,1.08E-05,27216912.18,1339.608442,0.106478501,0.016289825
155,1674.95598,0.011375,0.695035053,2.38E-41,0.002107503,0.088846404,4.15E-06,0.115404393,9.37E-06,23085086,1340.311858,0.106742162,0.016366081
156,1683.66047,0.01155,0.698369473,4.15E-44,0.001664277,0.088545343,4.31E-06,0.116220992,7.11E-06,16888765.35,1341.413991,0.107153188,0.016538524
157,1690.272816,0.011725,0.700899814,7.31E-47,0.001347024,0.088344532,4.43E-06,0.116799267,5.45E-06,12584525.04,1342.246941,0.107462901,0.016728496
158,1695.376114,0.0119,0.702848953,1.12E-49,0.001110971,0.088207924,4.53E-06,0.117224192,4.22E-06,9551248,1342.88714,0.107700394,0.016931092
159,1702.249601,0.01225,0.705464527,9.55E-53,0.000803206,0.088056659,4.69E-06,0.117765836,2.67E-06,5849722.467,1343.745156,0.108017372,0.017364445
160,1706.806603,0.0126,0.707191666,1.14E-55,0.000602539,0.087977502,4.80E-06,0.118112681,1.76E-06,3772983.33,1344.310816,0.108226489,0.017816952
161,1709.954077,0.01295,0.708380205,1.52E-58,0.000465308,0.087935576,4.89E-06,0.118346332,1.21E-06,2540046.921,1344.699344,0.108370365,0.018281143
162,1712.205625,0.0133,0.709227605,1.44E-61,0.000367942,0.087913762,4.95E-06,0.118510103,8.58E-07,1776851.432,1344.975562,0.108472923,0.018752795
163,1714.927785,0.014,0.710247365,4.01E-65,0.000251532,0.087900059,5.04E-06,0.11870262,4.90E-07,985764.4503,1345.305924,0.108596097,0.019711442
164,1716.616387,0.0147,0.710878313,-4.10E-69,0.000181369,0.087899409,5.11E-06,0.11881775,3.06E-07,596807.2587,1345.509167,0.108672364,0.020678645
165,1717.731262,0.0154,0.711294193,-1.62E-71,0.000136712,0.08790355,5.15E-06,0.11889064,2.04E-07,386011.2231,1345.642367,0.108722614,0.021650676
166,1718.503983,0.0161,0.711582118,-1.48E-74,0.000106966,0.087909195,5.19E-06,0.118939009,1.45E-07,262975.9607,1345.734091,0.108757371,0.022625639
167,1719.060358,0.0168,0.711789272,-1.00E-77,8.64E-05,0.087915003,5.21E-06,0.118972376,1.08E-07,186688.3054,1345.799764,0.108782346,0.023602491
168,1719.473045,0.0175,0.711942837,-5.79E-81,7.17E-05,0.087920438,5.23E-06,0.118996143,8.35E-08,136978.6678,1345.848236,0.108800836,0.024580625
169,1719.785948,0.0182,0.712059205,-2.63E-84,6.09E-05,0.087925304,5.25E-06,0.119013515,6.71E-08,103325.2425,1345.884819,0.108814827,0.025559672
170,1720.192096,0.0196,0.712210015,-5.33E-88,4.75E-05,0.087932853,5.28E-06,0.119035001,4.81E-08,64220.52201,1345.931938,0.1088329,0.027519972
171,1720.459357,0.021,0.712309257,-1.07E-91,3.91E-05,0.087938509,5.30E-06,0.119048477,3.74E-08,41963.38372,1345.962846,0.108844781,0.029481577
172,1720.640594,0.0224,0.712376596,-1.94E-95,3.36E-05,0.087942704,5.32E-06,0.119057228,3.09E-08,28426.48342,1345.983779,0.108852839,0.031444043
173,1720.829768,0.0252,0.712447116,-1.71E-99,2.83E-05,0.087947378,5.34E-06,0.119065862,2.50E-08,15788.59466,1346.005736,0.108861297,0.035371046
174,1720.829768,0.028,0.712447116,-1.71E-99,2.83E-05,0.087947378,5.34E-06,0.119065862,2.50E-08,15788.59466,1346.005736,0.108861297,0.039301163
